ID: 424 ID: 424 | Name: Pansage | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.6m | Weight: 10.5kg | Type: [Grass, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 316
ID: 1072 ID: 1072 | Name: Wobbuffet | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 1.3m | Weight: 28.5kg | Type: [Psychic, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 405
ID: 243 ID: 243 | Name: Spectrier | Generation: Sex nov 15 23:10:48 BRT 2019 | Height: 2.0m | Weight: 44.5kg | Type: [Ghost, ] | Category: Semi-Legendary | Mega Evolution: false | TOTAL: 580
ID: 635 ID: 635 | Name: Lopunny | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 1.2m | Weight: 33.3kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 480
ID: 1034 ID: 1034 | Name: Dusk Mane Necrozma | Generation: Sex nov 18 23:10:48 BRST 2016 | Height: 3.8m | Weight: 460.0kg | Type: [Psychic, Steel] | Category: Legendary | Mega Evolution: false | TOTAL: 680
ID: 40 ID: 40 | Name: Maschiff | Generation: Sex nov 18 23:10:48 BRT 2022 | Height: 0.5m | Weight: 16.0kg | Type: [Dark, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 340
ID: 966 ID: 966 | Name: Psyduck | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.8m | Weight: 19.6kg | Type: [Water, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 320
ID: 373 ID: 373 | Name: Charmander | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.6m | Weight: 8.5kg | Type: [Fire, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 309
ID: 411 ID: 411 | Name: Swoobat | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.9m | Weight: 10.5kg | Type: [Psychic, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 425
ID: 86 ID: 86 | Name: Galarian Darumaka | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 0.7m | Weight: 40.0kg | Type: [Ice, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 315
ID: 66 ID: 66 | Name: Bellsprout | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 0.7m | Weight: 4.0kg | Type: [Grass, Poison] | Category: Ordinary | Mega Evolution: false | TOTAL: 300
ID: 630 ID: 630 | Name: Slowbro | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.6m | Weight: 78.5kg | Type: [Water, Psychic] | Category: Ordinary | Mega Evolution: false | TOTAL: 490
ID: 967 ID: 967 | Name: Aipom | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 0.8m | Weight: 11.5kg | Type: [Normal, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 360
ID: 836 ID: 836 | Name: Drifloon | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 0.4m | Weight: 1.2kg | Type: [Ghost, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 348
ID: 468 ID: 468 | Name: Forretress | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 1.2m | Weight: 125.8kg | Type: [Bug, Steel] | Category: Ordinary | Mega Evolution: false | TOTAL: 465
ID: 543 ID: 543 | Name: Mega Sharpedo | Generation: Qui nov 21 23:10:48 BRST 2002 | Height: 2.5m | Weight: 130.3kg | Type: [Water, Dark] | Category: Ordinary | Mega Evolution: true | TOTAL: 560
ID: 184 ID: 184 | Name: Wormadam Sandy Form | Generation: Qui set 28 23:10:48 BRT 2006 | Height: 0.5m | Weight: 6.5kg | Type: [Bug, Ground] | Category: Ordinary | Mega Evolution: false | TOTAL: 424
ID: 1051 ID: 1051 | Name: Wartortle | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 1.0m | Weight: 22.5kg | Type: [Water, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 405
ID: 4 ID: 4 | Name: Xatu | Generation: Dom nov 21 23:10:48 BRST 1999 | Height: 1.5m | Weight: 15.0kg | Type: [Psychic, Flying] | Category: Ordinary | Mega Evolution: false | TOTAL: 470
ID: 284 ID: 284 | Name: Beheeyem | Generation: Sáb set 18 23:10:48 BRT 2010 | Height: 1.0m | Weight: 34.5kg | Type: [Psychic, ] | Category: Ordinary | Mega Evolution: false | TOTAL: 485
ID: 43 ID: 43 | Name: Galarian Weezing | Generation: Ter fev 27 23:10:48 BRT 1996 | Height: 3.0m | Weight: 16.0kg | Type: [Poison, Fairy] | Category: Ordinary | Mega Evolution: false | TOTAL: 490
